,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Accounting and bookkeeping clerks,-0.032557679,-0.259197931,-0.02950758,-0.001151149,-0.044210109,0.02374263,-0.003611089,-0.064718701,0.00013829,-0.074362527,-0.078556119,0.056369258,-0.080914295,0.017326581,0.104342717,-0.135652738,-0.164537415,0.026289557,0.134436048,-0.157772645,0.197542387,-0.003772609,-0.05018378,0.022599456,-0.091631106,-0.139305896,-0.169338229,-0.085244748,-0.020290856,-0.02473806,0.230445304,0.007255173,0.079996738,-0.046612083,0.02514124,0.079691705,-0.090037353,0.034210511,0.157295883,-0.015830423,-0.067183574,0.021922406,0.115286017,0.305659464,-0.157215415,-0.138279007,0.063145521,0.194488162,0.168299112,0.026452325
Payroll clerks,-0.082579197,-0.151541957,0.155985234,-0.165075207,0.094092309,-0.087534371,-0.137407168,0.02512774,-0.003913919,-0.15258987,-0.04771472,-0.021536651,0.031062711,0.01214462,0.143160016,-0.119442998,-0.143792135,-0.003466353,0.17736631,-0.212020089,0.118619136,-0.16637906,-0.092095398,0.083892205,-0.22619157,-0.11460526,-0.10027862,-0.088315209,0.048575848,-0.047466655,0.252048838,0.141138988,0.09321976,0.008359958,0.035837109,0.06026297,-1.35E-05,-0.033260616,0.156130047,-0.028999251,-0.084229981,0.025981298,0.018617125,0.220356785,-0.186646523,-0.176916695,-0.022316621,0.120756593,0.000994864,0.127098185
"Statistical, finance and insurance clerks",-0.02425077,-0.089334707,0.016059204,-0.007926712,-0.002901507,0.021348767,-0.098112706,-0.066309317,-0.002991427,-0.126415102,-0.014949797,0.015908386,0.024152275,-0.008497227,0.029957764,-0.030513427,-0.047979421,-0.031935592,0.117299543,-0.0901112,0.140059284,-0.095414825,-0.110557841,0.042076536,-0.113581361,-0.177181151,-0.126283846,-0.094757083,-0.103593187,0.006446094,0.369373045,0.023770483,0.050567343,-0.040217799,0.027385699,-0.022029856,-0.026152758,0.020312177,0.204242301,0.004832606,-0.04752916,0.053383265,0.077220841,0.117369856,-0.112234752,-0.034712406,-0.030084162,0.209874152,0.136523613,0.113060676
Stock clerks,-0.061653957,-0.203260508,0.056277932,-0.022332966,0.124033531,-0.124801931,-0.106489207,0.000619517,-0.051507462,-0.056369178,-0.03559836,0.046196718,-0.018513429,0.02269565,0.076992276,-0.002358736,-0.209648656,-0.038441872,0.018891423,-0.237175364,0.288283506,-0.042745801,-0.047564489,0.12595309,-0.164208311,-0.164087183,-0.11102478,-0.067016052,0.003376538,-0.037649336,0.342679083,0.045046554,0.146326108,0.074998843,0.106630946,-0.113760331,-0.080369292,-0.077193052,0.119515658,-0.032890157,-0.047440035,0.053265996,0.053648777,0.1980245,-0.082976797,-0.017068614,0.017883167,0.04329583,0.073618836,0.035578465
Production clerks,-0.023458237,-0.183810954,0.007148026,-0.076203223,0.017434191,-0.009724805,-0.112721839,-0.046359127,0.054090225,-0.014541348,0.047791607,0.038632565,0.006560796,0.031523236,0.115384406,-0.048632445,-0.083408525,0.081812528,0.059342841,-0.243111212,0.256253599,-0.083324628,-0.055381731,0.077123726,-0.107162287,-0.118276269,-0.134931872,-0.070011736,0.028196874,-0.022428979,0.382928875,0.010358009,0.084524648,0.010115486,0.094423547,0.035110328,0.019041322,0.010949285,0.061976708,0.033475732,-0.055317538,0.093911276,0.005497178,-0.014980841,-0.073432226,-0.020710773,-0.013191846,0.001736952,-0.062617114,0.119210383
Transport clerks,0.044002769,-0.143223937,0.042055645,-0.083441038,0.019547591,-0.054374875,-0.101436207,0.011419916,0.070048299,-0.222212302,0.075847951,0.086429313,0.037233838,0.100038375,-0.02154441,-0.065330561,-0.089466849,0.054979405,0.070644652,-0.229643269,0.228596154,-0.05840629,-0.110536743,0.155244815,-0.086292374,-0.13009852,-0.014973583,-0.112535569,0.009475484,0.046893877,0.327639471,0.0924724,0.044483549,0.00034697,0.090090824,0.081804084,0.074055897,-0.030817704,0.058648971,0.189732907,0.005280535,0.106630615,0.103405818,0.060957087,-0.088052389,-0.035306489,-0.104269066,0.025582253,0.101524506,0.061861244
Library clerks,-0.045300859,-0.040374827,0.0114619,-0.122522641,0.094380368,-0.135510578,-0.170829679,-0.067255224,0.035371697,-0.141172914,-0.079681035,0.039064552,0.078735694,-0.006282975,0.050739893,-0.055697811,-0.149463485,0.044349622,0.150089513,-0.131886661,0.235602274,-0.000573608,-0.132229636,0.177482267,-0.109142586,-0.14592297,-0.139835495,-0.119271048,-0.135410001,-0.152809311,0.280727292,-0.051888103,0.070915752,-0.133692311,0.029069329,0.107929563,0.066846572,0.013086932,0.121622627,0.017255347,0.085145722,0.047501909,-0.007393458,0.194194252,-0.191755206,0.073925444,-0.01620318,-0.055560062,-0.057314688,0.027667086
Filing and copying clerks,-0.006187392,-0.230100161,0.042281057,-0.024363277,0.003779881,0.041559681,-0.056207532,0.000972765,0.028025849,-0.003888877,-0.067391158,0.034610732,-0.002188925,-0.011298597,0.162764063,-0.110068956,-0.229105691,-0.098009009,0.203212924,-0.203363005,0.230565704,-0.05617689,-0.08016131,0.088901171,-0.095542068,-0.172436411,-0.112113153,-0.107769758,0.048804589,-0.158284701,0.253538486,-0.09684764,0.011478465,-0.032729339,-0.003550216,0.021614633,0.044674385,-0.051496964,0.023178259,-0.004991112,0.064053475,0.01675022,0.043383516,0.237965851,-0.114743823,-0.105911144,0.026675388,0.057331775,-0.004684753,0.007340468
Mail carriers and sorting clerks,0.109290255,-0.119408363,0.13540582,-0.016435065,-0.006497918,-0.05026597,-0.116892873,0.009642873,0.141550763,-0.177604484,-0.063535002,0.053048949,0.036270323,0.033611597,0.019444436,-0.071655675,-0.218590194,0.001848183,0.097888738,-0.200039693,0.167402682,-0.107112793,0.011957769,0.183738732,-0.027751056,-0.190477867,-0.050436575,-0.056670258,0.098079927,-0.092821639,0.295762183,0.082828646,0.02654048,-0.009411336,0.026601964,0.039000273,-0.00617268,0.024873576,0.013815899,0.112884403,0.105398233,0.051294269,0.034732351,0.193925566,-0.029809238,-0.025363446,0.015278261,0.051420137,0.035451475,0.06339621
Medical records and health information technicians,0.043340386,0.0010706,0.08259708,0.005958351,-0.0557086,-0.040609967,-0.141999122,-0.01561321,0.185284483,-0.042920523,0.082327435,0.024878038,0.028870777,0.013296746,0.041863909,-0.011280666,-0.127599469,0.00927912,0.0722082,-0.044045595,0.088490199,0.11059662,0.024704251,-0.030786908,-0.017239535,-0.223150046,-0.133826354,-0.137755179,-0.070785403,-0.015896139,0.513901683,-0.019666526,-0.018239453,-0.197229554,0.015592428,0.103401386,0.060676307,0.035810651,0.175858657,0.012028558,0.018578101,-0.026862466,0.103424,0.097314308,0.045922739,0.004218249,-0.044976898,0.142210175,0.002385278,0.037085326
"Coding, proof-reading and related clerks",-0.013718758,-0.013706529,0.032498256,-0.024323734,0.054973744,0.07219993,0.010302968,-0.096742951,0.053551738,0.00571665,-0.025507952,-0.006924077,0.02030062,-0.028171143,0.068482346,-0.022517706,-0.108047944,-0.059529447,0.092104584,-0.104840274,0.081396851,-0.018822659,0.024109166,0.069719766,0.01442313,-0.187291104,-0.18217025,-0.066627466,0.036125956,-0.06537974,0.417819797,-0.043656025,-0.035656297,-0.133715248,0.094738481,0.056211636,0.072115812,0.000604101,0.019017513,0.03877461,0.063771462,0.031738845,0.040358319,0.135727113,-0.044661728,-0.002559183,0.101534653,0.152751923,0.086954833,0.01323946
Scribes and related workers,0.089668865,-0.092362645,0.000121434,-0.097327938,-0.019389922,0.015340783,-0.087012464,-0.032617163,-0.040371134,-0.022309714,0.026359637,0.038160185,0.06395311,0.022474331,0.114854877,-0.08407654,-0.059788249,0.029403515,0.078281081,-0.101013652,0.058460501,-0.010344314,0.012362728,0.040279917,-0.026532184,-0.11854101,-0.114944608,-0.142512121,-0.04855109,-0.025711852,0.436501472,-0.042118581,0.068494817,-0.075424448,-0.016726965,0.089538788,-0.022799216,-0.069031037,0.046485181,0.119370595,-0.04841691,-0.046608314,0.141788686,0.202156424,0.09960715,-0.02761236,-0.087633187,0.116226355,-0.080635776,-0.108196151
General office clerks,-0.035013613,-0.098330519,0.010612338,-0.01106064,0.130575015,-0.146739046,-0.10127242,-0.001385054,-0.048492499,-0.256062786,-0.045143693,0.036715629,-0.052043689,0.000459207,0.064901802,-0.032282826,-0.174682163,-0.01753164,0.104012175,-0.1408669,0.140228016,-0.024166379,-0.072894473,0.015660257,-0.142879828,-0.283771173,-0.07884146,-0.073455852,-0.102284208,0.044864516,0.409234622,-0.005529997,-0.049406149,-0.120421997,0.046108781,0.008849076,0.044048356,-0.008280105,0.098846192,0.058705885,-0.054261164,0.136770196,-0.035213265,0.05755171,-0.101801035,-0.022923566,-0.121952591,0.025491981,0.058931852,0.135239335
Survey and market research interviewers,0.043789083,-0.03221647,0.085756048,-0.012676781,0.014259837,-0.037175469,-0.180262453,-0.098814938,0.073512195,-0.051615498,0.040481387,-0.061092633,0.038833219,0.033099732,0.031216841,0.04166408,-0.041177962,-0.011043807,-0.037648263,-0.023284698,0.135202305,0.07770733,0.081993098,0.01250711,0.07416707,-0.148565411,-0.142030571,-0.047439597,-0.123411701,0.055245502,0.381444355,0.030291809,0.074958074,-0.173169675,-0.060641836,-0.081525926,-0.099461824,0.05976756,0.084964843,-0.04899481,-0.007461852,-0.027292908,0.047832121,0.071295347,0.061216615,-0.079617299,0.033363994,0.200138394,0.050712117,0.097722708
Personnel clerks,-0.001882555,-0.205422835,0.079849679,-0.126375642,0.095573236,-0.135727826,-0.079910584,0.065526747,0.019701835,-0.303883809,0.004643193,0.016141709,0.025924962,0.050114514,0.026271923,-0.121119253,-0.146403453,0.070115547,0.07539787,-0.230883611,0.119023174,0.025901748,-0.058066073,0.087724547,-0.161864831,-0.154133436,-0.057948445,-0.138932227,-0.027996132,-0.046232661,0.344321358,0.091309466,0.041772491,-0.074699505,0.099841707,0.151471861,0.07660103,-0.103559922,0.032337959,0.087366956,-0.022572255,0.070364046,0.116089141,0.138910289,-0.07681607,-0.0920533,-0.061800276,0.105974922,-0.075022479,0.103942873
Clerical support workers not elsewhere classified,0.064629978,-0.058299516,0.055552573,-0.08806812,0.040728314,0.007868052,-0.040087785,0.014644009,-0.015750633,-0.058824717,0.039246066,-0.049495026,0.025063307,-0.052489207,0.035274238,0.000425083,-0.062082093,0.003657407,0.086489984,-0.080047643,-0.012751653,-0.020229955,0.014924296,0.016692334,-0.074006352,-0.296262373,-0.040119944,-0.049026053,0.015949561,0.024726238,0.567108116,0.020038133,-0.029811857,-0.160189864,-0.019503839,0.032663514,-0.014994489,-0.002976725,-0.055579319,0.000952083,-0.028108274,-0.026152107,0.082098362,0.093471246,0.026944472,-0.036206923,-0.12512716,0.08386445,-0.035075532,-0.037469343
Bank tellers and related clerks,0.0887387,-0.09906603,0.086252922,-0.009678078,0.066929577,-0.010262976,-0.008021104,0.017825328,-0.050580257,-0.079400996,-0.066171363,0.053697949,-0.004587639,0.02246646,0.061602556,0.009289333,-0.083469972,-0.020429675,0.097875811,-0.073299983,0.227490283,-0.048656489,-0.06204072,0.071062981,-0.086524196,-0.169236947,-0.141839251,-0.116324528,-0.061338821,-0.073798384,0.355883624,-0.012564898,0.130830647,0.038544063,0.04088241,0.01490273,-0.026171576,-0.098471416,0.104436348,0.013781167,-0.021992743,0.013462137,0.086914033,0.217732124,-0.00557574,-0.11325063,-0.028032947,0.100538356,0.075282917,-0.03104398
"Bookmakers, croupiers and related gaming workers",0.013091197,-0.12410531,0.06515782,0.156001625,-0.090399217,-0.050613214,-0.076392121,-0.016315356,0.037002335,0.031000424,-0.044135228,-0.027147188,0.076100771,0.003075919,0.06188416,-0.006295804,-0.013598633,0.064932957,-0.000574547,-0.134814122,0.113179779,-0.042398243,-0.032168552,0.053101085,-0.081898916,-0.078433132,-0.028523285,-0.128139388,-0.021619985,0.032017989,0.265962859,0.009533239,0.034830384,-0.010412081,0.053962808,0.005155962,-0.076927134,-0.067096404,-0.060622281,-0.022355171,-0.077442468,-0.028771039,0.050007228,0.254527669,0.076138523,-0.081308405,-0.108020978,0.050940305,0.037418484,-0.062417393
Cashiers and ticket clerks,-0.048215118,-0.153067996,0.106474775,-0.113536902,0.035055432,-0.112486634,-0.146818538,0.044427669,0.034835775,-0.142997464,-0.10671733,-0.054078173,0.098081739,0.03127188,0.067996936,-0.033404636,-0.140306497,0.001745837,0.108872121,-0.251910469,0.19848471,-0.095374968,-0.108921683,0.215184136,-0.118933374,-0.12354016,-0.117225918,-0.049134709,0.0197709,-0.108383731,0.134071098,0.190341768,0.045596256,0.103949743,0.100007783,0.012679373,0.044849175,-0.004039908,0.060276252,0.033941029,0.021007829,0.111274576,-0.005011697,0.264730458,-0.123964231,-0.129732708,-0.042554407,0.048734467,0.101065996,0.074988352
Pawnbrokers and money-lenders,-0.06948789,-0.118443202,0.10054984,-0.091812238,-0.071828375,-0.03401855,-0.083047908,0.02819982,0.005447627,0.094198142,-0.003040215,0.116274198,0.076028739,-0.038281683,0.070547002,0.052548231,0.081287812,0.026012634,0.162328427,-0.091609933,0.167225613,-0.097082255,-0.050824113,0.013868905,-0.157588296,-0.166393984,-0.032934698,-0.064193286,-0.035403677,-0.132090142,0.234107089,0.160266217,0.109498997,0.004333288,0.015348678,0.016126099,-0.062875653,-0.096011578,0.092029034,-0.160646322,-0.124001457,-0.076250419,0.10183151,0.181190122,0.031083847,-0.126999779,-0.146618206,0.129784346,0.072858016,-0.035998776
Debt-collectors and related workers,0.078928314,0.029439388,0.076693547,-0.064294467,-0.011919085,0.032464335,-0.107938232,-0.0463441,0.025547487,0.025019754,-0.005419722,0.063933454,0.072262465,-0.009114504,0.179507296,-0.035128526,-0.017106012,0.041263041,0.054971538,-0.137955293,0.14493988,-0.106342479,-0.046130635,-0.021312029,-0.082974291,-0.203587002,-0.088666041,-0.069515854,0.029944569,0.035961015,0.501069186,0.034214616,0.074652399,-0.051202466,-0.024703728,0.030832378,-0.05647093,-0.079320565,0.072123134,-0.033834388,-0.088385925,-0.054420376,0.153410619,0.103852581,0.052623297,-0.017701257,-0.126001572,0.116517157,0.001875947,-0.07163956
Contact centre information clerks,0.050820557,0.027798255,0.053703481,0.049876307,0.090211974,-0.079976599,-0.129231889,-0.008745917,0.091780093,-0.133826793,0.009762826,0.017104315,0.008741626,0.051810239,0.012240198,0.005602327,-0.121187402,-0.071858843,0.06443071,-0.082692641,0.096158111,0.080277448,-0.010706485,0.103798652,-0.041185481,-0.231822752,-0.019235514,-0.096529604,0.014781375,-0.078451094,0.478321886,0.007112429,-0.024486849,-0.167759854,-0.005078351,0.040703635,-0.003286383,-0.015070386,0.118009034,0.106425226,0.079925247,0.078141659,0.064563328,0.135745496,0.002304602,-0.005077581,0.008921517,0.053864554,0.017722321,0.069691671
Hotel receptionists,0.247979978,-0.006362772,-0.0285232,0.026424045,0.032859481,-0.131275713,-0.124750963,0.037398569,-0.100500027,-0.112815395,-0.209144218,-0.094833132,0.015568493,0.107280677,-0.012496303,0.029940761,-0.185924019,0.087249809,0.025815215,-0.045799933,0.172657506,0.247086315,-0.193581211,0.112164634,-0.086033764,-0.037769355,-0.017129851,0.015267092,-0.065063551,-0.126719019,0.105149241,0.114135829,0.043999783,0.046341357,0.184218912,0.068658887,0.071921579,-0.05195777,0.056091182,0.087313974,-0.06622187,0.065768796,0.069166086,0.220821351,0.069343207,-0.041563554,-0.067811549,-0.078539299,0.071084215,0.071335761
Enquiry clerks,0.060305679,-0.224366003,-0.103691513,-0.094674394,0.052503332,-0.05996912,0.023920249,0.111186017,0.086985665,-0.220928418,-0.07623424,0.029697089,-0.076329872,0.099951255,0.040400919,-0.143877023,-0.115154924,-0.048639604,0.121948998,-0.194877861,0.222968851,0.042003431,-0.053556552,0.146450836,-0.084295833,-0.131725717,-0.12108082,-0.061663683,-0.135409066,0.023390021,0.153918683,-0.066877607,-0.063663637,-0.09698292,0.01494916,0.036802344,0.085433421,-0.080752927,0.094258912,0.049794974,0.022968307,-0.005325156,0.011477017,0.213495065,-0.138594032,-0.064268552,0.010992404,0.133574244,0.148839606,-0.050078908
Receptionists (general),0.075962483,-0.11808955,-0.011332543,0.036899144,0.085902328,-0.073276354,-0.026738711,0.005889597,-0.132972056,-0.229980677,-0.077312582,0.00442864,-0.045522847,0.039315838,-0.04791393,-0.0214731,-0.216217978,-0.005793109,0.077303129,-0.053106929,0.042238657,0.097168539,-0.057510311,-0.026715143,-0.045864167,-0.105709761,0.003558634,-0.132439771,-0.118625213,0.017980557,0.18145003,0.085346174,-0.037076537,-0.076366124,0.131508994,0.026721741,0.029247866,-0.004691534,0.043367217,0.162954628,-0.091268957,0.115262399,-0.028492219,0.134839171,0.082678576,-0.033799767,-0.04137737,0.083207256,0.020142742,0.170157535
Client information workers not elsewhere classified,0.126705175,-0.029180194,0.097246503,0.03211357,0.067610594,-0.032690455,-0.096502928,0.02327472,0.034682956,-0.046285515,0.036159592,0.026710485,0.016578186,-0.071845547,0.109245566,0.02664765,-0.053913327,-0.03240431,0.0820503,-0.081801407,0.034271921,0.00862341,0.060086941,0.051480444,-0.029555347,-0.272994803,-0.042001195,-0.050706109,0.055789877,-0.028535769,0.575395158,-0.066245681,-0.004378049,-0.204374261,-0.003164572,0.021253585,-0.01333182,-0.010491565,-0.027297412,-0.010789645,0.042673425,-0.037352305,0.123453586,0.123080469,0.024399916,-0.062905385,-0.110898773,0.103946487,0.019506994,0.013454627
Telephone switchboard operators,0.136544872,-0.061247193,0.193513977,0.199427909,-0.050254926,-0.066412983,-0.123820415,0.089873346,0.054470687,-0.064163249,0.051702098,-0.019235018,0.060012307,0.079569639,-0.053262563,0.038473172,-0.212688938,0.109228352,0.074450679,-0.195778449,0.221980386,0.033431939,-0.169725455,0.189493881,0.061980314,-0.1609682,0.028678758,-0.033907439,0.036457247,-0.004534721,0.362365261,0.039024119,0.030723623,0.03630878,-0.040536824,-0.058615703,0.065076671,-0.130925963,0.015334685,0.170713311,0.16191139,0.079513755,-0.091551375,0.226242306,-0.04033804,-0.108204456,-0.090701964,0.055895611,0.062083602,0.02184196
Travel attendants and travel stewards,0.15061062,-0.021442489,-0.077190445,-0.036232141,-0.06980324,-0.117197597,-0.135233635,0.11875132,0.077975488,-0.1399422,0.04197354,0.042030082,0.007891303,0.050683385,0.112192522,-0.036175394,-0.053433029,0.049987279,-0.064764311,-0.300331783,0.04734827,0.069182933,-0.105632992,0.109317506,0.012917614,-0.165202546,0.012906095,-0.024286177,-0.053167671,0.038618839,0.280975817,0.192542266,-0.124434005,0.06628421,0.017910731,-0.091112955,0.072074998,-0.063323585,-0.007548905,0.045063287,-0.005516166,-0.029623533,0.124729847,0.227037357,-0.025180039,-0.09501981,-0.09967416,0.038590092,0.055979349,-0.037450154
Transport conductors,0.109199117,0.054296852,0.04444473,-0.001843128,-0.117629976,0.04181641,-0.020543868,0.070613679,-0.004278228,-0.073475827,0.2180241,0.121998384,-0.008579624,0.218340998,-0.128403767,-0.030702346,0.086107024,0.123100888,-0.067071779,-0.259611595,0.211380391,-0.081424363,-0.119780706,0.071402281,0.004122351,-0.033408179,0.002954023,-0.124198468,-0.022549111,0.144777919,0.348125629,0.101478442,0.116987522,-0.034676484,0.056560211,0.085742854,0.124713072,0.103361835,0.001178095,0.291890843,0.062104594,0.09795724,0.108384865,-0.026463997,0.025802444,-0.017336498,-0.143913881,-0.024806301,0.005316105,0.008686285
Travel guides,0.103800878,0.163178277,-0.014141247,-0.081066792,-0.099448887,-0.16154344,-0.321053759,-0.083616887,0.19082168,-0.117102353,-0.00369467,0.084870511,0.106868207,0.070813518,0.058675765,-0.030984779,-0.007974879,-0.022712823,-0.009933003,-0.106116357,0.125276634,0.088283546,-0.008382442,0.239050483,0.093329658,-0.148326832,-0.112056755,-0.100189187,0.008367524,0.011295954,0.478899399,0.162789932,-0.110515579,0.007326854,0.061324381,0.06052537,-0.075472518,-0.037156258,-0.119371264,0.07232132,0.111972909,0.045747412,0.146761068,0.085585518,-0.008350262,-0.078033788,0.050323912,0.111094695,0.08495556,0.003858977
"Cleaning and housekeeping supervisors in offices, hotels and other establishments",0.099258172,-0.042558924,-0.071107499,-0.007436361,-0.016586503,-0.068021212,-0.116380873,-0.054052555,0.027976045,-0.112269915,-0.050112803,-0.043863991,0.055785164,0.040062369,0.014363735,0.003919285,-0.059512339,0.057330834,0.0551929,-0.109652712,0.182471381,0.051727554,-0.022374149,0.054165846,-0.149193899,-0.102128647,-0.063519971,-0.011693089,0.021561556,-0.033092058,0.470298358,0.083333226,0.010551663,-0.103159418,0.02264902,0.113291451,0.014693813,0.048176459,0.080574084,0.081521305,-0.061050572,-0.025237891,0.109472746,0.142179622,-0.003995111,-0.003669822,-0.131095177,-0.005615317,0.062775722,0.046750632
Domestic housekeepers,0.038573603,-0.135687966,-0.046610312,-0.051706183,-0.017338553,-0.013846654,-0.043538318,-0.053945996,-0.05836234,-0.02851369,0.022215874,0.027800322,0.115311916,0.066018,0.132444003,-0.050487914,-0.105725978,0.150624906,0.089082205,-0.170777714,0.126998677,0.056643733,-0.102843554,0.031402717,-0.063814772,-0.050081331,0.034635965,-0.112863962,0.025811966,0.129219373,0.28839928,0.198742935,0.055234549,0.049425176,0.079536118,0.09649471,-0.105587622,-0.036216922,0.009375165,-0.069576207,-0.157346561,-0.025262216,0.197480356,0.147839524,0.121603486,-0.056637816,-0.093132323,0.098079968,0.078494756,0.019395791
Chefs,0.010581801,0.040062759,-0.204323262,-0.076279834,-0.00759544,-0.177514076,-0.218850931,0.07262771,-0.085977,0.070032723,-0.025298989,0.078985426,0.162046257,0.29225501,0.086374756,-0.135551872,0.17379176,0.112350143,-0.031201519,-0.270857008,0.154901536,0.074269783,0.084086063,0.283512884,-0.079230035,-0.013147647,-0.288298719,-0.17369817,-0.073578496,-0.005908911,0.170194939,0.211108513,-0.055856016,0.027555776,0.102470052,0.091805084,-0.237483784,0.249714252,0.089067586,0.012851989,0.072142745,0.18217229,0.140439806,0.07490364,0.186203026,0.07925556,-0.068403412,-0.019409008,-0.045858938,0.12228341
Cooks,-0.004024467,-0.070273861,-0.174902069,-0.210848037,0.063918395,-0.141462574,-0.164964351,0.141012864,-0.039821414,-0.090109616,-0.061627959,0.08404514,0.304877188,0.147269129,0.069189266,-0.084788043,0.062538402,0.167340762,0.08958275,-0.217957429,0.120842031,0.060446367,0.129256465,0.30445834,0.147048683,-0.051311073,-0.081571732,-0.122554898,0.170601162,-0.00593265,0.220821026,0.145968496,-0.049020637,0.157574992,0.114166918,0.182538327,-0.206919685,0.234863454,0.153862677,0.035192042,0.107324265,0.123368345,0.145450447,0.115075156,0.211509376,0.118150382,0.063420187,-0.030877909,-0.065099987,0.125927726
Fast food preparers,0.028361976,-0.143554655,0.019492934,-0.109081976,0.011828245,-0.059917659,-0.146641843,-0.058506045,0.183398474,0.071349612,-0.029437071,0.04567839,0.07791663,0.022464323,0.125886932,0.027109213,0.098853619,-0.057242908,0.078397681,-0.167871841,0.090873981,-0.036732174,0.009287258,0.118356969,-0.018306405,-0.070890001,0.020965003,-0.077856245,0.159786684,0.117195184,0.401623748,0.087416052,-0.033552393,0.056872012,0.046418361,0.079514689,-0.031314446,0.092561433,0.079954016,-0.014778904,0.011592236,0.080673456,0.022378089,0.147753111,0.06045073,0.033752001,-0.039957601,0.017392375,0.078322609,0.075351587
Waiters,-0.070972995,-0.051234614,-0.164673725,-0.240053601,0.135191654,-0.20157672,-0.068868308,0.098846205,-0.204574304,-0.113276579,-0.050862231,0.02540437,0.227544808,0.236082882,0.01015105,-0.172049386,-0.119660589,0.143065198,0.086401191,-0.439906247,0.118403538,0.092139188,-0.011409335,0.226330962,-0.126021968,-0.003131519,-0.058894192,0.065177392,0.059029979,-0.079054333,0.031860388,0.258734494,-0.0321011,0.149043907,0.174094409,0.094970126,-0.082938642,-0.008524495,0.050615347,0.085983546,0.024859167,0.146974195,0.174806258,0.190499855,0.112587361,-0.190977164,-0.046233155,-0.062718838,0.062955435,0.019428335
Bartenders,-0.021789958,-0.199783468,-0.185364472,-0.120438204,0.02235952,-0.17436189,-0.024632252,0.127489357,-0.131649513,0.117729544,0.052395417,0.02017076,0.177413631,0.214142485,0.013788255,-0.1749089,-0.085040888,0.186355328,0.074954788,-0.422277454,0.085530318,0.082581741,0.01714565,0.312779454,-0.140020208,0.042153371,-0.109222096,-0.073630448,0.020893869,-0.095985889,-0.034874297,0.304646277,-0.059038711,0.048765477,0.068359477,0.03299335,-0.176737066,0.028600475,0.186988708,0.152882144,0.043892768,0.088747601,0.087795132,0.318729389,0.111139031,-0.055005711,-0.053427059,-0.009376666,0.019205815,-0.012399377
Child care workers,0.0874645,0.000902083,0.016946301,-0.174519591,0.055037818,0.142124729,-0.116141165,0.002642373,0.155041789,-0.061992437,0.015772792,-0.036538834,0.072633639,-0.05327145,0.129802682,-0.059092306,-0.071184436,0.068756694,0.157990015,-0.084847159,0.006151724,0.132834008,-0.08320177,0.034811765,-0.005537411,-0.281190801,-0.034809081,-0.136996595,0.043732692,0.00602615,0.570168842,0.120912585,-0.055984099,-0.081214545,-0.014988175,0.056389768,0.030006661,-0.03667293,0.185251639,-0.053844063,-0.119431951,-0.041310372,0.105037863,0.093974158,0.104602422,-0.046129169,-0.11308986,-0.044186704,0.008584259,0.098728562
Teachers' aides,0.045050985,0.012931022,0.104737752,-0.216228897,0.030663169,-0.017478302,-0.105500497,0.079851625,-0.152060358,-0.073117004,-0.159012137,-0.075901948,0.034161145,-0.039636855,0.036984319,-0.07673425,-0.089226872,0.036667392,0.178556483,-0.124278544,0.054586742,0.152465166,0.06404406,-0.005648761,0.014397405,-0.292582311,0.032602496,-0.110273172,-0.16565161,-0.009286108,0.424302643,0.102408956,-0.127685263,-0.215252885,0.0820182,0.012657053,-0.01046025,0.045707356,0.022963951,0.006858179,-0.109179705,0.059190253,-0.027626749,0.140700668,0.084978614,-0.101139227,-0.086634836,0.131296225,-0.070542348,0.063506736
Ambulance workers,0.112817194,-0.087192686,0.098803297,-0.179274328,-0.03109866,-0.043957484,-0.187392846,0.199166848,0.168021042,-0.22718957,0.0838095,-0.081269428,0.053529178,-0.006013431,-0.055630127,-0.109418281,-0.100567528,0.140464859,0.005632053,-0.197881075,0.027808168,0.138027967,-0.10978632,0.06519252,-0.019557628,-0.189004651,-0.010224443,-0.034835255,0.010701396,-0.005836211,0.437029409,0.132387389,-0.022619865,0.009946737,0.015088374,0.097259442,0.138621978,-0.143777793,0.184695892,0.094905697,0.001949699,-0.063787802,0.059415227,0.002811637,0.103274966,-0.094659284,-0.179784127,0.021668645,0.042466973,-0.009792799
Health care assistants,0.030190448,-0.000485661,0.042315995,-0.108025248,-0.004139633,0.037239792,-0.159639204,-0.073251998,0.115680386,-0.107215258,0.005742108,0.028124897,0.049395416,-0.0044921,0.034636918,-0.015190516,-0.109645288,0.040025274,0.191731685,-0.061997065,-0.043026229,0.141183609,-0.029514005,-0.012647594,-0.03460603,-0.211904,-0.017573828,-0.17802868,-0.083372465,0.031689208,0.489828812,0.175862913,-0.047552944,-0.151836473,0.019439525,0.125964638,0.031448045,0.102175894,0.231061849,-0.037080142,-0.06119685,0.033746062,0.035343598,0.200681566,0.087155198,0.014547928,-0.086122049,0.092032934,-0.011110403,0.194896333
